step,games_played,loss,eval_wr_random,eval_wr_regles,eval_metric,elapsed_s
500000,0,,80.00,0.00,20.00,178.9
1000000,0,,86.00,35.00,47.75,395.6
1500000,0,,82.00,87.00,85.75,617.7
2000000,0,,84.00,81.00,81.75,845.0
2500000,0,,80.00,61.00,65.75,1076.6
3000000,0,,92.00,80.00,83.00,1310.8
3500000,0,,84.00,82.00,82.50,1550.1
4000000,0,,88.00,80.00,82.00,1792.1
4500000,0,,88.00,70.00,74.50,2038.8
5000000,0,,88.00,72.00,76.00,2290.5
5500000,0,,84.00,56.00,63.00,2546.7
6000000,0,,92.00,52.00,62.00,2810.1
